first_name,last_name,position,team,season,fantasy_points_ppr,fantasy_adp,age,is_rookie,nfl_draft_round,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,points_per_game
Cole,Fotheringham,TE,LV,2023.0,1.6,999.0,28.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.6
Kevin,Rader,TE,TEN,2023.0,1.6,999.0,30.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.8
Mason,Kinsey,WR,TEN,2023.0,1.6,999.0,27.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.6
Jesper,Horsted,TE,LV,2023.0,1.4,999.0,28.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.4
Colton,Dowell,WR,TEN,2023.0,1.3,999.0,26.0,True,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.65
Kene,Nwangwu,RB,MIN,2023.0,1.3,999.0,27.0,False,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.43
Nick,Vannett,TE,LAC,2023.0,1.3,999.0,32.0,False,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.3
Reggie,Gilliam,RB,BUF,2023.0,1.3,999.0,28.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.3
Sean,Clifford,QB,GB,2023.0,1.28,999.0,27.0,True,5.0,2.0,1.0,1.0,37.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.64
Antoine,Green,WR,DET,2023.0,1.2,999.0,26.0,True,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.6
Kwamie,Lassiter,WR,CIN,2023.0,1.2,999.0,27.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.2
Jonathan,Ward,RB,TEN,2023.0,1.1,999.0,28.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1
David,Wells,TE,TB,2023.0,1.0,999.0,30.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-10.0,0.0,1.0
James,Robinson,RB,NO,2023.0,1.0,999.0,27.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,-2.0,0.0,1.0
AJ,McCarron,QB,CIN,2023.0,0.76,999.0,35.0,False,0.0,2.0,4.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
Albert,Okwuegbunam,TE,PHI,2023.0,0.0,999.0,27.0,False,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Amari,Rodgers,WR,IND,2023.0,0.0,999.0,26.0,False,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Andy,Isabella,WR,BUF,2023.0,0.0,999.0,29.0,False,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damiere,Byrd,WR,HOU,2023.0,0.0,999.0,32.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Irvin,Charles,WR,NYJ,2023.0,0.0,999.0,28.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
James,Proche,WR,CLE,2023.0,0.0,999.0,29.0,False,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Jordan,Mims,RB,NO,2023.0,0.0,999.0,26.0,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Juwann,Winfree,WR,IND,2023.0,0.0,999.0,29.0,False,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Malik,Cunningham,QB,BAL,2023.0,0.0,999.0,27.0,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillip,Dorsett,WR,DEN,2023.0,0.0,999.0,32.0,False,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Sean,McKeon,TE,DAL,2023.0,0.0,999.0,27.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Shedrick,Jackson,WR,CIN,2023.0,0.0,999.0,26.0,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Travis,Homer,RB,CHI,2023.0,0.0,999.0,27.0,False,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kyle,Trask,QB,TB,2023.0,-0.1,999.0,27.0,False,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05
Jonathan,Williams,RB,WAS,2023.0,-0.2,999.0,31.0,False,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,0.0,0.0,-0.2
